fixed acidity,volatile acidity,citric acid,pH,sulphates,alcohol,quality,type,pH_bin_5,pH_bin_10
7.4,0.23,0.25,3.42,0.54,10.2,7,White,"(3.236, 3.494]","(3.365, 3.494]"
6.4,0.16,0.28,3.31,0.43,11.1,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.7,0.27,0.25,3.22,0.43,9.3,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.9,0.29,0.23,3.17,0.44,8.8,5,White,"(2.978, 3.236]","(3.107, 3.236]"
9.6,0.21,0.28,2.8,0.46,10.6,5,White,"(2.719, 2.978]","(2.719, 2.849]"
6.6,0.62,0.2,3.17,0.44,9.3,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.4,0.28,0.19,3.31,0.35,10.2,6,White,"(3.236, 3.494]","(3.236, 3.365]"
8.0,0.3,0.28,3.16,0.51,10.2,6,White,"(2.978, 3.236]","(3.107, 3.236]"
6.4,0.17,0.27,3.46,0.42,11.0,7,White,"(3.236, 3.494]","(3.365, 3.494]"
7.3,0.21,0.3,3.4,0.5,9.6,6,White,"(3.236, 3.494]","(3.365, 3.494]"
6.6,0.32,0.26,3.17,0.45,8.8,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.4,0.32,0.22,3.28,0.69,8.9,5,White,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.37,0.07,3.17,0.38,10.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.43,0.28,3.16,0.56,12.2,7,White,"(2.978, 3.236]","(3.107, 3.236]"
7.8,0.39,0.26,3.04,0.42,10.9,6,White,"(2.978, 3.236]","(2.978, 3.107]"
6.5,0.18,0.26,3.34,0.72,9.5,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.4,0.26,3.04,0.43,10.9,6,White,"(2.978, 3.236]","(2.978, 3.107]"
6.9,0.19,0.28,3.16,0.4,10.8,6,White,"(2.978, 3.236]","(3.107, 3.236]"
6.6,0.25,0.35,3.56,0.47,9.8,5,White,"(3.494, 3.752]","(3.494, 3.623]"
6.4,0.15,0.36,3.42,0.69,11.0,8,White,"(3.236, 3.494]","(3.365, 3.494]"
8.4,0.17,0.31,3.24,0.38,9.8,5,White,"(3.236, 3.494]","(3.236, 3.365]"
6.1,0.32,0.37,3.49,0.44,10.5,4,White,"(3.236, 3.494]","(3.365, 3.494]"
8.5,0.21,0.26,3.05,0.37,11.4,6,White,"(2.978, 3.236]","(2.978, 3.107]"
8.7,0.45,0.4,3.27,0.57,10.1,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.7,0.24,0.29,3.33,0.46,11.6,7,White,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.33,0.26,3.07,0.52,11.8,7,White,"(2.978, 3.236]","(2.978, 3.107]"
7.2,0.26,0.3,3.33,0.43,12.1,7,White,"(3.236, 3.494]","(3.236, 3.365]"
8.2,0.36,0.29,3.16,0.34,12.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.8,0.2,0.24,3.08,0.74,12.1,7,White,"(2.978, 3.236]","(2.978, 3.107]"
9.4,0.16,0.3,3.15,0.46,9.1,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.4,0.33,0.24,3.36,0.5,9.3,5,White,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.22,0.36,3.2,0.53,10.4,6,White,"(2.978, 3.236]","(3.107, 3.236]"
6.6,0.37,0.24,3.32,0.54,9.4,5,White,"(3.236, 3.494]","(3.236, 3.365]"
6.7,0.37,0.41,3.16,0.47,9.6,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.1,0.37,0.32,3.19,0.62,12.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.9,0.25,0.27,3.27,0.34,11.3,8,White,"(3.236, 3.494]","(3.236, 3.365]"
6.8,0.23,0.29,3.06,0.41,8.7,6,White,"(2.978, 3.236]","(2.978, 3.107]"
6.4,0.26,0.21,3.39,0.58,9.9,6,White,"(3.236, 3.494]","(3.365, 3.494]"
7.6,0.3,0.22,3.08,0.4,9.3,6,White,"(2.978, 3.236]","(2.978, 3.107]"
9.4,0.16,0.23,3.07,0.32,9.5,5,White,"(2.978, 3.236]","(2.978, 3.107]"
7.5,0.33,0.39,3.16,0.39,9.4,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.38,0.2,3.15,0.41,9.4,5,White,"(2.978, 3.236]","(3.107, 3.236]"
8.8,0.2,0.43,3.28,0.79,8.8,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.36,0.21,3.18,0.41,9.9,6,White,"(2.978, 3.236]","(3.107, 3.236]"
5.6,0.46,0.24,3.29,0.37,12.6,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.2,0.15,0.38,3.19,0.43,11.1,6,White,"(2.978, 3.236]","(3.107, 3.236]"
8.2,0.42,0.29,3.0,0.32,12.8,7,White,"(2.978, 3.236]","(2.978, 3.107]"
6.8,0.3,0.35,3.09,0.53,12.0,6,White,"(2.978, 3.236]","(2.978, 3.107]"
6.7,0.27,0.3,3.36,0.5,12.0,7,White,"(3.236, 3.494]","(3.236, 3.365]"
7.2,0.5,0.0,3.19,0.34,9.2,4,White,"(2.978, 3.236]","(3.107, 3.236]"
6.0,0.26,0.29,3.38,0.44,12.3,6,White,"(3.236, 3.494]","(3.365, 3.494]"
6.8,0.33,0.28,3.19,0.41,13.0,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.4,0.29,0.31,3.07,0.38,10.9,5,White,"(2.978, 3.236]","(2.978, 3.107]"
7.3,0.19,0.24,3.36,0.54,10.0,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.5,0.32,0.12,3.22,0.32,9.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.1,0.32,0.4,3.42,0.6,10.4,5,White,"(3.236, 3.494]","(3.365, 3.494]"
7.3,0.17,0.23,3.36,0.54,10.0,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.7,0.44,0.24,3.12,0.43,11.3,7,White,"(2.978, 3.236]","(3.107, 3.236]"
7.4,0.49,0.24,3.13,0.51,12.0,7,White,"(2.978, 3.236]","(3.107, 3.236]"
6.4,0.21,0.3,3.6,0.41,10.6,6,White,"(3.494, 3.752]","(3.494, 3.623]"
8.0,0.55,0.42,2.99,0.56,9.3,5,White,"(2.978, 3.236]","(2.978, 3.107]"
7.0,0.19,0.23,3.04,0.54,9.4,6,White,"(2.978, 3.236]","(2.978, 3.107]"
7.2,0.24,0.29,3.27,0.64,11.0,7,White,"(3.236, 3.494]","(3.236, 3.365]"
6.5,0.34,0.36,3.44,0.55,9.3,6,White,"(3.236, 3.494]","(3.365, 3.494]"
6.9,0.18,0.33,3.42,0.51,10.5,5,White,"(3.236, 3.494]","(3.365, 3.494]"
8.2,0.18,0.31,3.07,0.52,9.5,6,White,"(2.978, 3.236]","(2.978, 3.107]"
8.3,0.28,0.45,3.33,0.77,11.2,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.1,0.34,0.46,3.29,0.62,12.3,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.44,0.2,3.27,0.44,9.0,5,White,"(3.236, 3.494]","(3.236, 3.365]"
7.6,0.26,0.58,3.07,0.38,9.0,5,White,"(2.978, 3.236]","(2.978, 3.107]"
7.0,0.24,0.25,3.25,0.42,11.4,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.1,0.25,0.25,3.2,0.42,11.0,7,White,"(2.978, 3.236]","(3.107, 3.236]"
6.4,0.18,0.31,3.6,0.67,10.4,7,White,"(3.494, 3.752]","(3.494, 3.623]"
8.3,0.27,0.39,3.28,0.59,10.3,5,White,"(3.236, 3.494]","(3.236, 3.365]"
6.8,0.24,0.35,3.29,0.55,10.5,7,White,"(3.236, 3.494]","(3.236, 3.365]"
8.0,0.22,0.28,3.14,0.45,9.8,6,White,"(2.978, 3.236]","(3.107, 3.236]"
10.0,0.91,0.42,3.11,0.46,10.0,4,White,"(2.978, 3.236]","(3.107, 3.236]"
8.9,0.34,0.34,3.14,0.47,9.7,5,White,"(2.978, 3.236]","(3.107, 3.236]"
8.9,0.33,0.34,3.13,0.47,9.7,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.7,0.18,0.19,3.32,0.66,10.5,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.2,0.28,3.14,0.46,10.0,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.3,0.13,0.31,3.24,0.92,11.5,7,White,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.28,0.3,3.24,0.39,9.5,5,White,"(3.236, 3.494]","(3.236, 3.365]"
7.1,0.25,0.3,3.43,0.61,10.5,6,White,"(3.236, 3.494]","(3.365, 3.494]"
7.6,0.36,0.44,3.12,0.43,10.2,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.27,0.25,3.34,0.5,9.8,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.9,0.37,0.28,3.1,0.37,11.6,6,White,"(2.978, 3.236]","(2.978, 3.107]"
7.4,0.21,0.27,3.15,0.38,11.8,7,White,"(2.978, 3.236]","(3.107, 3.236]"
8.2,0.18,0.28,3.04,0.37,10.1,7,White,"(2.978, 3.236]","(2.978, 3.107]"
6.3,0.19,0.21,3.31,0.5,10.3,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.21,0.22,3.34,0.49,10.4,6,White,"(3.236, 3.494]","(3.236, 3.365]"
5.8,0.33,0.2,3.09,0.46,8.9,5,White,"(2.978, 3.236]","(2.978, 3.107]"
7.9,0.29,0.31,3.06,0.31,10.8,5,White,"(2.978, 3.236]","(2.978, 3.107]"
6.6,0.31,0.38,3.38,0.6,9.2,5,White,"(3.236, 3.494]","(3.365, 3.494]"
8.0,0.19,0.3,3.18,0.49,9.6,6,White,"(2.978, 3.236]","(3.107, 3.236]"
8.0,0.2,0.36,3.08,0.37,10.4,6,White,"(2.978, 3.236]","(2.978, 3.107]"
8.0,0.25,0.26,3.03,0.57,8.7,6,White,"(2.978, 3.236]","(2.978, 3.107]"
7.7,0.3,0.42,3.18,0.63,9.2,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.4,0.22,0.32,3.4,0.39,10.2,5,White,"(3.236, 3.494]","(3.365, 3.494]"
7.0,0.53,0.02,3.2,0.32,9.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.3,0.24,0.41,3.37,0.43,9.7,5,White,"(3.236, 3.494]","(3.365, 3.494]"
7.6,0.15,0.4,3.14,0.76,10.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.33,0.41,3.18,0.64,9.1,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.8,0.35,0.44,3.14,0.44,9.5,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.9,0.26,0.33,2.93,0.49,9.5,6,White,"(2.719, 2.978]","(2.849, 2.978]"
7.5,0.29,0.67,2.9,0.41,8.9,6,White,"(2.719, 2.978]","(2.849, 2.978]"
7.2,0.31,0.41,3.29,0.64,9.9,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.7,0.44,0.31,3.29,0.62,12.6,7,White,"(3.236, 3.494]","(3.236, 3.365]"
10.0,0.23,0.27,2.72,0.43,9.7,6,White,"(2.719, 2.978]","(2.719, 2.849]"
7.4,0.21,0.3,2.96,0.34,10.4,5,White,"(2.719, 2.978]","(2.849, 2.978]"
8.8,0.23,0.35,2.93,0.49,9.1,6,White,"(2.719, 2.978]","(2.849, 2.978]"
7.8,0.34,0.27,3.01,0.55,10.4,5,White,"(2.978, 3.236]","(2.978, 3.107]"
6.0,0.28,0.35,3.16,0.69,10.6,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.9,0.37,0.3,3.12,0.59,12.0,7,White,"(2.978, 3.236]","(3.107, 3.236]"
7.2,0.36,0.36,2.93,0.59,12.5,7,White,"(2.719, 2.978]","(2.849, 2.978]"
7.6,0.13,0.34,3.21,0.39,9.6,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.6,0.25,0.36,3.08,0.42,9.2,5,White,"(2.978, 3.236]","(2.978, 3.107]"
7.1,0.18,0.26,3.04,0.74,9.9,6,White,"(2.978, 3.236]","(2.978, 3.107]"
7.9,0.3,0.27,2.96,0.46,11.7,6,White,"(2.719, 2.978]","(2.849, 2.978]"
8.3,0.23,0.3,3.09,0.5,9.6,6,White,"(2.978, 3.236]","(2.978, 3.107]"
6.8,0.43,0.3,3.0,0.37,12.0,6,White,"(2.978, 3.236]","(2.978, 3.107]"
6.6,0.35,0.29,3.17,0.58,8.9,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.3,0.22,0.5,3.24,0.66,9.0,6,White,"(3.236, 3.494]","(3.236, 3.365]"
8.1,0.26,0.33,3.03,0.49,10.2,7,White,"(2.978, 3.236]","(2.978, 3.107]"
7.0,0.12,0.19,3.29,0.41,9.4,5,White,"(3.236, 3.494]","(3.236, 3.365]"
8.2,0.37,0.27,2.97,0.48,10.4,5,White,"(2.719, 2.978]","(2.849, 2.978]"
7.6,0.26,0.36,3.15,0.4,10.4,4,White,"(2.978, 3.236]","(3.107, 3.236]"
6.3,0.2,0.58,3.16,0.43,10.0,6,White,"(2.978, 3.236]","(3.107, 3.236]"
6.3,0.22,0.57,3.16,0.43,10.0,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.1,0.25,0.28,3.05,0.41,10.5,5,White,"(2.978, 3.236]","(2.978, 3.107]"
7.0,0.27,0.32,3.23,0.39,11.4,6,White,"(2.978, 3.236]","(3.107, 3.236]"
8.8,0.34,0.33,3.08,0.4,10.2,5,White,"(2.978, 3.236]","(2.978, 3.107]"
9.2,0.27,0.34,3.04,0.41,10.4,6,White,"(2.978, 3.236]","(2.978, 3.107]"
7.1,0.49,0.22,3.24,0.37,11.0,3,White,"(3.236, 3.494]","(3.236, 3.365]"
9.2,0.71,0.23,2.89,0.34,10.1,6,White,"(2.719, 2.978]","(2.849, 2.978]"
7.2,0.47,0.65,3.0,0.35,9.2,5,White,"(2.978, 3.236]","(2.978, 3.107]"
6.8,0.28,0.36,3.23,0.66,10.3,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.3,0.13,0.27,3.23,0.39,11.1,7,White,"(2.978, 3.236]","(3.107, 3.236]"
7.2,0.16,0.35,3.33,0.34,9.9,5,White,"(3.236, 3.494]","(3.236, 3.365]"
6.8,0.31,0.32,3.14,0.38,9.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
8.3,0.36,0.57,2.93,0.64,8.6,5,White,"(2.719, 2.978]","(2.849, 2.978]"
6.3,0.25,0.44,3.18,0.52,9.5,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.0,0.45,0.42,3.02,0.4,9.0,5,White,"(2.978, 3.236]","(2.978, 3.107]"
8.1,0.26,0.3,2.99,0.58,10.0,6,White,"(2.978, 3.236]","(2.978, 3.107]"
6.4,0.22,0.32,3.6,0.43,9.0,6,White,"(3.494, 3.752]","(3.494, 3.623]"
5.7,0.45,0.42,3.02,0.4,9.0,5,White,"(2.978, 3.236]","(2.978, 3.107]"
7.2,0.19,0.31,3.34,0.57,10.2,7,White,"(3.236, 3.494]","(3.236, 3.365]"
6.7,0.31,0.44,3.04,0.44,9.6,5,White,"(2.978, 3.236]","(2.978, 3.107]"
9.9,1.005,0.46,3.02,0.49,10.2,4,White,"(2.978, 3.236]","(2.978, 3.107]"
8.1,0.31,0.36,3.01,0.34,13.0,7,White,"(2.978, 3.236]","(2.978, 3.107]"
8.1,0.24,0.38,3.37,0.74,10.8,6,White,"(3.236, 3.494]","(3.365, 3.494]"
6.4,0.29,0.28,2.89,0.57,9.0,5,White,"(2.719, 2.978]","(2.849, 2.978]"
7.2,0.15,0.33,3.37,0.4,9.9,5,White,"(3.236, 3.494]","(3.365, 3.494]"
7.0,0.12,0.32,3.29,0.38,9.2,6,White,"(3.236, 3.494]","(3.236, 3.365]"
8.5,0.17,0.31,2.79,0.37,10.1,5,White,"(2.719, 2.978]","(2.719, 2.849]"
9.5,0.21,0.47,2.9,0.64,9.5,5,White,"(2.719, 2.978]","(2.849, 2.978]"
8.2,0.21,0.48,3.17,0.57,9.9,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.8,0.31,0.42,3.19,0.46,9.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.8,0.27,0.28,3.03,0.38,8.6,6,White,"(2.978, 3.236]","(2.978, 3.107]"
7.4,0.21,0.3,3.12,0.35,10.5,6,White,"(2.978, 3.236]","(3.107, 3.236]"
8.0,0.23,0.35,3.09,0.56,9.5,7,White,"(2.978, 3.236]","(2.978, 3.107]"
7.6,0.2,0.31,3.43,0.53,10.1,6,White,"(3.236, 3.494]","(3.365, 3.494]"
6.3,0.41,0.3,3.53,0.79,11.7,7,White,"(3.494, 3.752]","(3.494, 3.623]"
8.3,0.49,0.43,3.23,0.47,10.7,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.2,0.26,3.15,0.42,9.2,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.8,0.27,0.35,3.24,0.43,9.5,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.8,0.28,0.37,3.57,0.55,10.2,5,White,"(3.494, 3.752]","(3.494, 3.623]"
8.4,0.2,0.27,3.25,0.5,9.1,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.9,0.33,0.26,3.19,0.54,10.5,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.5,0.38,0.5,3.09,0.46,9.0,6,White,"(2.978, 3.236]","(2.978, 3.107]"
7.6,0.2,0.3,3.14,0.46,8.9,8,White,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.16,0.41,3.2,0.53,10.1,6,White,"(2.978, 3.236]","(3.107, 3.236]"
8.1,0.22,0.28,3.12,0.55,10.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
8.0,0.22,0.32,3.11,0.53,9.5,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.1,0.33,0.3,3.08,0.31,12.3,7,White,"(2.978, 3.236]","(2.978, 3.107]"
6.4,0.43,0.27,3.24,0.52,9.1,4,White,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.12,0.28,3.5,0.44,9.6,5,White,"(3.494, 3.752]","(3.494, 3.623]"
7.4,0.3,0.22,3.13,0.45,11.6,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.0,0.28,0.33,3.34,0.67,8.8,6,White,"(3.236, 3.494]","(3.236, 3.365]"
8.4,0.2,0.38,3.34,0.82,8.9,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.8,0.31,0.09,3.19,0.46,10.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.7,0.31,0.08,3.18,0.46,10.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.17,0.35,3.36,0.69,11.1,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.26,0.31,3.42,0.68,10.6,6,White,"(3.236, 3.494]","(3.365, 3.494]"
5.6,0.18,0.31,3.34,0.58,10.1,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.2,0.15,0.39,3.52,0.47,10.0,5,White,"(3.494, 3.752]","(3.494, 3.623]"
8.0,0.4,0.33,3.18,0.41,12.2,7,White,"(2.978, 3.236]","(3.107, 3.236]"
7.0,0.25,0.56,3.23,0.53,11.0,6,White,"(2.978, 3.236]","(3.107, 3.236]"
6.8,0.18,0.46,3.37,0.45,11.1,5,White,"(3.236, 3.494]","(3.365, 3.494]"
9.0,0.55,0.3,2.94,0.36,11.8,5,White,"(2.719, 2.978]","(2.849, 2.978]"
6.9,0.19,0.39,3.11,0.66,10.8,6,White,"(2.978, 3.236]","(3.107, 3.236]"
6.3,0.41,0.33,3.3,0.38,12.5,7,White,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.2,0.34,3.25,0.46,11.6,7,White,"(3.236, 3.494]","(3.236, 3.365]"
7.7,0.26,0.34,3.19,0.7,11.5,6,White,"(2.978, 3.236]","(3.107, 3.236]"
6.3,0.21,0.28,3.23,0.42,10.1,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.34,0.39,3.11,0.53,9.2,6,White,"(2.978, 3.236]","(3.107, 3.236]"
8.0,0.43,0.4,3.07,0.64,9.2,5,White,"(2.978, 3.236]","(2.978, 3.107]"
7.5,0.3,0.71,3.08,0.42,8.9,5,White,"(2.978, 3.236]","(2.978, 3.107]"
6.4,0.26,0.4,3.09,0.54,10.1,5,White,"(2.978, 3.236]","(2.978, 3.107]"
6.9,0.32,0.15,3.13,0.45,8.9,5,White,"(2.978, 3.236]","(3.107, 3.236]"
8.9,0.21,0.34,3.1,0.45,9.7,6,White,"(2.978, 3.236]","(2.978, 3.107]"
9.5,0.42,0.41,3.06,0.52,11.0,6,White,"(2.978, 3.236]","(2.978, 3.107]"
7.6,0.29,0.26,3.14,0.47,10.7,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.5,0.25,0.2,3.24,0.54,10.8,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.2,0.23,0.33,3.41,0.4,9.8,5,White,"(3.236, 3.494]","(3.365, 3.494]"
7.9,0.35,0.36,3.25,0.48,11.0,5,White,"(3.236, 3.494]","(3.236, 3.365]"
8.8,0.2,0.28,2.97,0.35,10.4,5,White,"(2.719, 2.978]","(2.849, 2.978]"
5.7,0.27,0.32,3.8,0.41,10.2,6,White,"(3.752, 4.01]","(3.752, 3.881]"
5.5,0.14,0.27,3.34,0.44,9.0,5,White,"(3.236, 3.494]","(3.236, 3.365]"
8.7,0.24,0.35,3.08,0.38,10.6,5,White,"(2.978, 3.236]","(2.978, 3.107]"
6.7,0.3,0.45,3.22,0.59,9.5,6,White,"(2.978, 3.236]","(3.107, 3.236]"
5.6,0.13,0.27,3.34,0.45,9.2,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.18,0.34,2.97,0.53,11.0,6,White,"(2.719, 2.978]","(2.849, 2.978]"
5.7,0.385,0.04,3.28,0.63,9.9,6,White,"(3.236, 3.494]","(3.236, 3.365]"
8.3,0.33,0.43,3.38,0.47,9.3,5,White,"(3.236, 3.494]","(3.365, 3.494]"
6.8,0.34,0.44,3.14,0.41,9.6,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.8,0.33,0.44,3.14,0.42,9.5,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.3,0.28,0.24,3.39,0.57,9.7,7,White,"(3.236, 3.494]","(3.365, 3.494]"
11.8,0.23,0.38,2.93,0.55,9.7,3,White,"(2.719, 2.978]","(2.849, 2.978]"
8.6,0.485,0.29,3.01,0.38,12.4,5,White,"(2.978, 3.236]","(2.978, 3.107]"
7.3,0.29,0.29,3.07,0.26,10.6,6,White,"(2.978, 3.236]","(2.978, 3.107]"
6.7,0.31,0.31,3.36,0.82,12.0,7,White,"(3.236, 3.494]","(3.236, 3.365]"
7.3,0.29,0.37,3.12,0.47,9.0,5,White,"(2.978, 3.236]","(3.107, 3.236]"
5.7,0.46,0.46,3.13,0.47,8.8,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.8,0.28,0.44,3.22,0.56,9.5,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.7,0.23,0.33,3.32,0.4,10.8,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.9,0.17,0.25,3.16,0.48,11.4,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.18,0.36,3.6,0.46,10.3,5,White,"(3.494, 3.752]","(3.494, 3.623]"
6.6,0.22,0.28,3.3,0.75,9.5,6,White,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.27,0.28,3.15,0.44,9.9,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.28,0.29,3.16,0.39,10.2,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.29,0.29,3.16,0.39,10.2,5,White,"(2.978, 3.236]","(3.107, 3.236]"
5.7,0.32,0.18,3.44,0.37,11.0,6,White,"(3.236, 3.494]","(3.365, 3.494]"
7.1,0.33,0.25,3.22,0.34,12.1,7,White,"(2.978, 3.236]","(3.107, 3.236]"
7.3,0.34,0.3,3.26,0.51,9.1,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.5,0.19,0.26,3.26,0.68,9.5,6,White,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.23,0.27,3.27,0.76,9.5,5,White,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.27,0.29,3.31,0.79,9.8,5,White,"(3.236, 3.494]","(3.236, 3.365]"
6.8,0.36,0.32,3.3,0.67,9.6,5,White,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.22,0.39,3.52,0.54,10.2,6,White,"(3.494, 3.752]","(3.494, 3.623]"
5.9,0.17,0.3,3.68,0.72,10.5,6,White,"(3.494, 3.752]","(3.623, 3.752]"
7.4,0.45,0.32,3.32,0.41,10.4,4,White,"(3.236, 3.494]","(3.236, 3.365]"
7.5,0.42,0.14,3.22,0.33,10.7,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.5,0.33,0.32,3.15,0.34,10.5,6,White,"(2.978, 3.236]","(3.107, 3.236]"
9.4,0.3,0.32,2.85,0.42,10.6,5,White,"(2.719, 2.978]","(2.849, 2.978]"
7.9,0.17,0.32,3.29,0.76,9.6,6,White,"(3.236, 3.494]","(3.236, 3.365]"
8.2,0.17,0.32,3.14,0.58,9.5,5,White,"(2.978, 3.236]","(3.107, 3.236]"
8.3,0.17,0.31,3.12,0.58,9.4,6,White,"(2.978, 3.236]","(3.107, 3.236]"
8.7,0.15,0.3,3.22,0.38,9.8,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.2,0.25,0.19,3.16,0.44,9.2,5,White,"(2.978, 3.236]","(3.107, 3.236]"
7.2,0.24,0.19,3.17,0.38,9.5,5,White,"(2.978, 3.236]","(3.107, 3.236]"
5.3,0.76,0.03,3.34,0.38,9.2,5,White,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.22,0.53,2.94,0.35,9.4,5,White,"(2.719, 2.978]","(2.849, 2.978]"
8.4,0.28,0.4,3.4,0.46,9.3,5,White,"(3.236, 3.494]","(3.365, 3.494]"
6.8,0.32,0.34,3.19,0.4,9.1,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.7,0.24,0.33,3.36,0.4,9.5,5,White,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.18,0.36,3.42,0.35,9.1,6,White,"(3.236, 3.494]","(3.365, 3.494]"
6.0,0.16,0.3,3.63,0.46,10.6,5,White,"(3.494, 3.752]","(3.623, 3.752]"
6.8,0.28,0.35,3.19,0.56,12.4,6,White,"(2.978, 3.236]","(3.107, 3.236]"
6.2,0.34,0.3,3.18,0.49,8.7,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.0,0.27,0.15,3.12,0.45,8.8,5,White,"(2.978, 3.236]","(3.107, 3.236]"
8.5,0.24,0.47,3.02,0.66,9.0,5,White,"(2.978, 3.236]","(2.978, 3.107]"
8.1,0.24,0.33,3.16,0.48,10.3,6,White,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.23,0.31,3.12,0.55,9.5,6,White,"(2.978, 3.236]","(3.107, 3.236]"
5.7,0.33,0.15,3.38,0.62,9.9,5,White,"(3.236, 3.494]","(3.365, 3.494]"
6.8,0.2,0.27,3.14,0.37,11.7,4,White,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.26,0.32,3.21,0.56,10.8,5,White,"(2.978, 3.236]","(3.107, 3.236]"
6.4,0.2,0.32,3.43,0.42,12.0,6,White,"(3.236, 3.494]","(3.365, 3.494]"
